Window,Period,Regime,Regime_Confidence,Dynamic_Weights,Allocation,Lasso,BayesianRidge,OrthogonalMatchingPursuit,Voting,Dynamic_Weighted,Confidence_Fixed,Regime_Adaptive
1,2014-M08,Normal,0.6,0.40/0.35/0.25,30%/10%/0%,0.2741574923427461,0.0353091282253688,-0.011637564219689644,0.03803156561024301,0.13546400080635834,-0.07793426908928136,0.15923875409097699
2,2015-M02,Normal,0.6,0.40/0.35/0.25,30%/10%/0%,0.008722328577047911,-0.035487216243181186,-0.01280029589717524,0.008722328577047911,0.008722328577047911,-0.00033163652392664833,0.008722328577047911
3,2015-M08,Normal,0.6,0.40/0.35/0.25,30%/10%/0%,-0.19884516301220478,-0.19884516301220478,-0.19884516301220478,-0.19884516301220478,-0.19884516301220478,-0.19884516301220478,-0.19884516301220478
4,2016-M02,CRASH,0.9,0.93/0.03/0.03,0%/30%/0%,0.1587064597735941,0.023612704457496303,0.08240523628336271,0.08881819770227661,0.1587064597735941,0.03285670974613186,0.06494515566616998
5,2016-M08,Normal,0.6,0.33/0.33/0.33,30%/10%/0%,0.21972180753626724,0.14897353763804633,0.15844081799566712,0.21631563839161294,0.21631563839161294,0.11016899476309971,0.23021210902426015
6,2017-M02,Normal,0.6,0.80/0.01/0.19,30%/10%/0%,0.23012677385183622,0.07798096839798085,0.24575366025463796,0.19941408115392645,0.23012677385183622,0.09001578051253367,0.23012677385183622
7,2017-M08,Normal,0.6,0.45/0.19/0.36,30%/10%/0%,-0.02943486833946829,0.003703452927492412,0.08148019480528346,0.007918921247799027,-0.02943486833946829,0.08241995603199337,-0.02943486833946829
8,2018-M02,Normal,0.6,0.37/0.20/0.43,30%/10%/0%,0.35701159310981345,0.37466329601160697,0.29441112104816103,0.3171914423621349,0.3484313949925666,0.30390507339175965,0.36095375645121486
9,2018-M08,Normal,0.6,0.34/0.28/0.38,30%/10%/0%,-0.17967633263012306,-0.21382695991390854,-0.1940772543748872,-0.2158981026530461,-0.189526849266608,-0.22682279074003409,-0.1686093180459174
10,2019-M02,High Vol,0.8,0.30/0.33/0.37,0%/70%/0%,0.19233106358553864,0.2307133239210366,0.10025719831871527,0.19233106358553864,0.1837081209735545,0.15354647205350802,0.205518424737962
11,2019-M08,Normal,0.6,0.38/0.41/0.21,30%/10%/0%,0.6028053239933244,0.11691679820061229,0.09098161028096707,0.2286673592514219,0.28257220351531553,0.005716211716692898,0.37304711625498777
12,2020-M02,Normal,0.6,0.82/0.18/0.00,30%/10%/0%,0.3750362354780503,0.5693503178970838,0.3984840537178449,0.4298599935864751,0.3750362354780503,0.3784013938945938,0.3750362354780503
13,2020-M08,Normal,0.6,0.44/0.34/0.22,30%/10%/0%,0.24183959104120345,0.037017834125687266,0.1268713499131473,0.06968331888791979,0.06385748718456097,0.108760589608909,0.19035765777072755
14,2021-M02,High Vol,0.8,0.48/0.28/0.24,0%/70%/0%,0.08077910640698072,0.12485492656980268,0.13490497104066157,0.1275690911054197,0.11405473431414892,0.13490497104066157,0.11980147279525788
15,2021-M08,Normal,0.6,0.33/0.35/0.32,30%/10%/0%,0.21186208622712654,0.19471260495291287,0.11050037061558693,0.20521104298775072,0.20521104298775072,0.12938347276681839,0.14987252065260326
16,2022-M02,Normal,0.6,0.42/0.28/0.29,30%/10%/0%,-0.041457103806929685,0.11804151877042068,0.19328678917606945,0.14353923980226546,0.0948882560363784,0.1653196753596371,0.08104778264898105
